CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0001,1,19,15,39
0002,1,21,15,81
0003,0,20,16,6
0004,0,23,16,77
0005,0,31,17,40
0006,0,22,17,76
0007,0,35,18,6
0008,0,23,18,94
0009,1,64,19,3
0010,0,30,19,72
0011,1,67,19,14
0012,0,35,19,99
0013,0,58,20,15
0014,0,24,20,77
0015,1,37,20,13
0016,1,22,20,79
0017,0,35,21,35
0018,1,20,21,66
0019,1,52,23,29
0020,0,35,23,98
0021,1,35,24,35
0022,1,25,24,73
0023,0,46,25,5
0024,1,31,25,73
0025,0,54,28,14
0026,1,29,28,82
0027,0,45,28,32
0028,1,35,28,61
0029,0,40,29,31
0030,0,23,29,87
0031,1,60,30,4
0032,0,21,30,73
0033,1,53,33,4
0034,1,18,33,92
0035,0,49,33,14
0036,0,21,33,81
0037,0,42,34,17
0038,0,30,34,73
0039,0,36,37,26
0040,0,20,37,75
0041,0,65,38,35
0042,1,24,38,92
0043,1,48,39,36
0044,0,31,39,61
0045,0,49,39,28
0046,0,24,39,65
0047,0,50,40,55
0048,0,27,40,47
0049,0,29,40,42
0050,0,31,40,42
0051,0,49,42,52
0052,1,33,42,60
0053,0,31,43,54
0054,1,59,43,60
0055,0,50,43,45
0056,1,47,43,41
0057,0,51,44,50
0058,1,69,44,46
0059,0,27,46,51
0060,1,53,46,46
0061,1,70,46,56
0062,1,19,46,55
0063,0,67,47,52
0064,0,54,47,59
0065,1,63,48,51
0066,1,18,48,59
0067,0,43,48,50
0068,0,68,48,48
0069,1,19,48,59
0070,0,32,48,47
0071,1,70,49,55
0072,0,47,49,42
0073,0,60,50,49
0074,0,60,50,56
0075,1,59,54,47
0076,1,26,54,54
0077,0,45,54,53
0078,1,40,54,48
0079,0,23,54,52
0080,0,49,54,42
0081,1,57,54,51
0082,1,38,54,55
0083,1,67,54,41
0084,0,46,54,44
0085,0,21,54,57
0086,1,48,54,46
0087,0,55,57,58
0088,0,22,57,55
0089,0,34,58,60
0090,0,50,58,46
0091,0,68,59,55
0092,1,18,59,41
0093,1,48,60,49
0094,0,40,60,40
0095,0,32,60,42
0096,1,24,60,52
0097,0,47,60,47
0098,0,27,60,50
0099,1,48,61,42
0100,1,20,61,49
0101,0,23,62,41
0102,0,49,62,48
0103,1,67,62,59
0104,1,26,62,55
0105,1,49,62,56
0106,0,21,62,42
0107,0,66,63,50
0108,1,54,63,46
0109,1,68,63,43
0110,1,66,63,48
0111,1,65,63,52
0112,0,19,63,54
0113,0,38,64,42
0114,1,19,64,46
0115,0,18,65,48
0116,0,19,65,50
0117,0,63,65,43
0118,0,49,65,59
0119,0,51,67,43
0120,0,50,67,57
0121,1,27,67,56
0122,0,38,67,40
0123,0,40,69,58
0124,1,39,69,91
0125,0,23,70,29
0126,0,31,70,77
0127,1,43,71,35
0128,1,40,71,95
0129,1,59,71,11
0130,1,38,71,75
0131,1,47,71,9
0132,1,39,71,75
0133,0,25,72,34
0134,0,31,72,71
0135,1,20,73,5
0136,0,29,73,88
0137,0,44,73,7
0138,1,32,73,73
0139,1,19,74,10
0140,0,35,74,72
0141,0,57,75,5
0142,1,32,75,93
0143,0,28,76,40
0144,0,32,76,87
0145,1,25,77,12
0146,1,28,77,97
0147,1,48,77,36
0148,0,32,77,74
0149,0,34,78,22
0150,1,34,78,90
0151,1,43,78,17
0152,1,39,78,88
0153,0,44,78,20
0154,0,38,78,76
0155,0,47,78,16
0156,0,27,78,89
0157,1,37,78,1
0158,0,30,78,78
0159,1,34,78,1
0160,0,30,78,73
0161,0,56,79,35
0162,0,29,79,83
0163,1,19,81,5
0164,0,31,81,93
0165,1,50,85,26
0166,0,36,85,75
0167,1,42,86,20
0168,0,33,86,95
0169,0,36,87,27
0170,1,32,87,63
0171,1,40,87,13
0172,1,28,87,75
0173,1,36,87,10
0174,1,36,87,92
0175,0,52,88,13
0176,0,30,88,86
0177,1,58,88,15
0178,1,27,88,69
0179,1,59,93,14
0180,1,35,93,90
0181,0,37,97,32
0182,0,32,97,86
0183,1,46,98,15
0184,0,29,98,88
0185,0,41,99,39
0186,1,30,99,97
0187,0,54,101,24
0188,1,28,101,68
0189,0,41,103,17
0190,0,36,103,85
0191,0,34,103,23
0192,0,32,103,69
0193,1,33,113,8
0194,0,38,113,91
0195,0,47,120,16
0196,0,35,120,79
0197,0,45,126,28
0198,1,32,126,74
0199,1,32,137,18
0200,1,30,137,83
